neural_network.py 

k = 50
lr = 0.005
num_epoch = 50

Epoch: 25 	Training Cost: 5818.336426	 Valid Acc: 0.6878351679367768
Epoch: 26 	Training Cost: 5785.179199	 Valid Acc: 0.6883996613039797
Epoch: 27 	Training Cost: 5752.267578	 Valid Acc: 0.6875529212531752
Epoch: 28 	Training Cost: 5719.599121	 Valid Acc: 0.6872706745695738
Epoch: 29 	Training Cost: 5687.171875	 Valid Acc: 0.6872706745695738
Epoch: 30 	Training Cost: 5654.985840	 Valid Acc: 0.6869884278859724
Epoch: 31 	Training Cost: 5623.037598	 Valid Acc: 0.6868473045441716
Epoch: 32 	Training Cost: 5591.327148	 Valid Acc: 0.6872706745695738
Epoch: 33 	Training Cost: 5559.852051	 Valid Acc: 0.688258537962179
Epoch: 34 	Training Cost: 5528.610352	 Valid Acc: 0.687694044594976
Epoch: 35 	Training Cost: 5497.601074	 Valid Acc: 0.6875529212531752
Epoch: 36 	Training Cost: 5466.822754	 Valid Acc: 0.6872706745695738
Epoch: 37 	Training Cost: 5436.272949	 Valid Acc: 0.6874117979113745
Epoch: 38 	Training Cost: 5405.949219	 Valid Acc: 0.6871295512277731
Epoch: 39 	Training Cost: 5375.851074	 Valid Acc: 0.6869884278859724
Epoch: 40 	Training Cost: 5345.976074	 Valid Acc: 0.6871295512277731
Epoch: 41 	Training Cost: 5316.322754	 Valid Acc: 0.6869884278859724
Epoch: 42 	Training Cost: 5286.888184	 Valid Acc: 0.6871295512277731
Epoch: 43 	Training Cost: 5257.672363	 Valid Acc: 0.6874117979113745
Epoch: 44 	Training Cost: 5228.671875	 Valid Acc: 0.6871295512277731
Epoch: 45 	Training Cost: 5199.885742	 Valid Acc: 0.6861416878351679
Epoch: 46 	Training Cost: 5171.311523	 Valid Acc: 0.6864239345187694
Epoch: 47 	Training Cost: 5142.947266	 Valid Acc: 0.6868473045441716
Epoch: 48 	Training Cost: 5114.791992	 Valid Acc: 0.6872706745695738
Epoch: 49 	Training Cost: 5086.843750	 Valid Acc: 0.6874117979113745
Lambda: 0.01 	Validation Acc: 0.687412	Test Acc: 0.685013
----------------------------------------------------------------------
Epoch: 0 	Training Cost: 5294.962402	 Valid Acc: 0.6867061812023709
Epoch: 1 	Training Cost: 5269.370117	 Valid Acc: 0.6865650578605701
Epoch: 2 	Training Cost: 5243.980957	 Valid Acc: 0.6867061812023709
Epoch: 3 	Training Cost: 5218.792480	 Valid Acc: 0.6874117979113745
Epoch: 4 	Training Cost: 5193.803711	 Valid Acc: 0.6868473045441716
Epoch: 5 	Training Cost: 5169.012207	 Valid Acc: 0.6872706745695738
Epoch: 6 	Training Cost: 5144.416016	 Valid Acc: 0.6868473045441716
Epoch: 7 	Training Cost: 5120.013672	 Valid Acc: 0.6868473045441716
Epoch: 8 	Training Cost: 5095.802246	 Valid Acc: 0.6868473045441716
Epoch: 9 	Training Cost: 5071.780762	 Valid Acc: 0.6864239345187694
Epoch: 10 	Training Cost: 5047.946777	 Valid Acc: 0.6865650578605701
Epoch: 11 	Training Cost: 5024.297363	 Valid Acc: 0.6865650578605701
Epoch: 12 	Training Cost: 5000.831543	 Valid Acc: 0.6865650578605701
Epoch: 13 	Training Cost: 4977.546875	 Valid Acc: 0.6858594411515665
Epoch: 14 	Training Cost: 4954.440918	 Valid Acc: 0.6858594411515665
Epoch: 15 	Training Cost: 4931.511719	 Valid Acc: 0.6860005644933672
Epoch: 16 	Training Cost: 4908.758301	 Valid Acc: 0.6864239345187694
Epoch: 17 	Training Cost: 4886.181152	 Valid Acc: 0.6858594411515665
Epoch: 18 	Training Cost: 4863.778809	 Valid Acc: 0.6855771944679651
Epoch: 19 	Training Cost: 4841.552734	 Valid Acc: 0.6860005644933672
Epoch: 20 	Training Cost: 4819.503906	 Valid Acc: 0.6862828111769687
Epoch: 21 	Training Cost: 4797.630859	 Valid Acc: 0.6865650578605701
Epoch: 22 	Training Cost: 4775.932617	 Valid Acc: 0.6864239345187694
Epoch: 23 	Training Cost: 4754.405762	 Valid Acc: 0.6867061812023709
Epoch: 24 	Training Cost: 4733.050781	 Valid Acc: 0.6860005644933672
Epoch: 25 	Training Cost: 4711.865234	 Valid Acc: 0.6864239345187694
Epoch: 26 	Training Cost: 4690.846680	 Valid Acc: 0.6861416878351679
Epoch: 27 	Training Cost: 4669.993652	 Valid Acc: 0.6858594411515665
Epoch: 28 	Training Cost: 4649.304199	 Valid Acc: 0.6858594411515665
Epoch: 29 	Training Cost: 4628.776855	 Valid Acc: 0.6854360711261642
Epoch: 30 	Training Cost: 4608.411133	 Valid Acc: 0.6850127011007621
Epoch: 31 	Training Cost: 4588.204102	 Valid Acc: 0.6852949477843635
Epoch: 32 	Training Cost: 4568.155762	 Valid Acc: 0.6851538244425628
Epoch: 33 	Training Cost: 4548.263184	 Valid Acc: 0.6848715777589613
Epoch: 34 	Training Cost: 4528.525391	 Valid Acc: 0.6850127011007621
Epoch: 35 	Training Cost: 4508.940430	 Valid Acc: 0.6845893310753599
Epoch: 36 	Training Cost: 4489.508789	 Valid Acc: 0.6845893310753599
Epoch: 37 	Training Cost: 4470.228027	 Valid Acc: 0.6838837143663562
Epoch: 38 	Training Cost: 4451.096680	 Valid Acc: 0.6841659610499576
Epoch: 39 	Training Cost: 4432.113770	 Valid Acc: 0.6837425910245555
Epoch: 40 	Training Cost: 4413.278320	 Valid Acc: 0.6837425910245555
Epoch: 41 	Training Cost: 4394.588379	 Valid Acc: 0.6836014676827548
